submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A2-A0D0-01,0.49938586,-0.44344816,0.2364066,0.8191242,-0.07455734,-0.3698167,-0.16881865,-1.5364348,-0.9666437,-0.15720753,1.0386312,0.9150519,-0.59896415,-0.046610836,-0.03866992,0.8920236,-3.1777282,1.6021366,-1.3071033,-1.4593365,-1.158176,0.75503594,-0.8708587,-1.5616796,-1.1636415,2.1767097,-0.6664956,-0.6346565,-1.6847506,-1.0819736,0.2940344,-1.0951086,0
TCGA-A2-A0D1-01,-0.23934332,0.35024297,-0.91188335,-1.0548542,-1.9891248,0.37036338,0.012459192,1.416283,0.4708984,-0.8969772,1.3035319,-0.21179749,0.95520127,2.820938,-0.39966294,-1.3635896,-0.7620596,-1.5642353,0.6137294,1.1120975,0.31818473,-0.57306707,-0.7015264,-0.18238369,0.22294553,-0.7231165,1.5362403,0.29879338,3.3724825,-0.9225077,-1.3708711,1.190937,1
TCGA-A2-A0D2-01,-0.3788858,-0.8777089,-0.6503833,-1.2277597,-1.5506713,1.1597813,-1.3138975,0.3722266,0.2559868,-0.8736215,-0.4992964,1.6125451,-1.0747656,0.62251896,0.17678538,2.0181034,-1.5715715,-1.9028316,0.82034135,-0.28883883,0.11612339,-0.3839824,-0.15324259,1.5391407,1.2451383,0.21268818,1.4092027,-0.26529673,-1.0248005,-0.82527184,-1.3649174,-0.09587699,1
TCGA-A2-A0D3-01,0.24806839,-0.68359655,1.4445705,-0.8747947,-1.1753643,-0.6526402,-0.5684634,0.8673685,-0.7474495,-0.8044244,1.3388861,0.05746696,0.5326024,-0.10662441,-1.256815,0.817889,-0.5295796,0.098270714,-0.05086081,0.68719816,0.5405299,1.8820859,0.118729144,0.12163817,-0.97179717,-0.5492374,0.1355024,0.16625808,-1.1328963,-0.82918584,1.7151473,-0.031544585,0
TCGA-A2-A0D4-01,-1.4492968,0.24533476,-0.060127817,-2.4059598,-1.594625,0.6382324,-0.13926749,-0.14666378,-0.8648132,0.33654428,0.38117686,-0.46629956,-1.4745059,0.7450229,0.113473475,0.2840029,0.5349521,-0.51013273,-0.72413886,0.9092988,-1.5791572,-1.9263818,-0.38205042,-0.67984164,1.6111904,-0.10437544,2.1716094,-0.48207617,-0.14806366,1.019402,-1.5993146,0.70958763,1
TCGA-A2-A0EM-01,-0.1440193,-0.5567241,-0.6361346,-1.5941304,-0.60112613,-0.669579,-0.62236434,-1.1782285,0.32073554,0.07015328,0.26574025,-1.2385259,-1.7610817,-1.3164644,1.7042621,-0.017219666,-0.801919,0.8131159,-2.359017,-0.42410743,-0.46159548,-0.81537324,1.010051,0.8447829,-0.6916781,1.0930445,-1.312733,0.4042437,-1.5384859,0.54223466,-0.7021958,-0.65843624,0
TCGA-A2-A0EN-01,-0.72370255,-1.3877306,0.47205558,0.6487939,0.25682527,0.21931826,0.21086645,0.9213051,-0.8536361,-0.47117716,0.21859083,-0.9491038,-1.3698533,-0.6997173,-0.19562328,-1.7606499,-0.8858146,-0.9146963,-0.08943186,1.3728667,1.3540472,0.37774414,0.7788243,-0.48138875,-0.99904984,0.45941472,-0.4404122,-0.6304769,-1.3604623,0.41031173,0.89288497,-0.82573247,0
TCGA-A2-A0EO-01,0.65709674,0.81260467,-1.1455278,-0.5024142,0.77312887,1.2243034,0.7377204,-0.41629094,-0.48596308,0.6291773,-0.18115142,0.35562685,-1.0217825,1.0785804,0.03497535,-0.5241473,0.7277934,0.18661113,0.9376641,0.42964572,-0.12952544,-0.47396937,-0.8214489,0.40321743,-1.161415,-1.3047073,0.03861147,0.22544411,-0.5933631,-0.05281753,-0.34298646,-1.6851652,0
TCGA-A2-A0EP-01,1.0715551,-0.07258658,0.8225192,-1.3310027,-0.4588654,0.49856603,0.86569303,-0.30137467,0.5115484,0.006804593,0.957247,1.460455,-1.7656671,0.084700465,-0.5791581,-0.743757,1.6247619,0.75346106,1.0261108,-0.21544802,0.14363338,0.61919713,0.36931068,-1.1361551,-1.1003722,0.8583966,-1.0567067,-1.3237804,-0.77915806,-0.5586685,-0.005062515,0.7601538,0
TCGA-A2-A0EQ-01,-1.9325527,-1.4235175,0.45218658,0.9808158,-0.8764202,-1.5371766,-0.052962527,-0.36817205,-0.8825498,-1.04805,0.418265,-1.4347771,-0.83179694,-0.3617854,-0.26752126,0.7408021,-2.0002904,-0.11176531,-1.1874963,-0.8107841,-0.14964923,0.6406273,0.55339617,-0.13465352,0.5770531,0.5903465,-0.6055009,0.081582606,0.023295328,-1.5186098,0.026581738,0.6189015,0
