submitter_id.samples,dna_vae_1,dna_vae_2,dna_vae_3,dna_vae_4,dna_vae_5,dna_vae_6,dna_vae_7,dna_vae_8,dna_vae_9,dna_vae_10,dna_vae_11,dna_vae_12,dna_vae_13,dna_vae_14,dna_vae_15,dna_vae_16,dna_vae_17,dna_vae_18,dna_vae_19,dna_vae_20,dna_vae_21,dna_vae_22,dna_vae_23,dna_vae_24,dna_vae_25,dna_vae_26,dna_vae_27,dna_vae_28,dna_vae_29,dna_vae_30,dna_vae_31,dna_vae_32,label_dna
TCGA-BH-A1EW-01,0.23510946,-0.6194314,-1.4421512,-1.723237,-1.4678705,0.15111499,-0.6083516,0.39603725,-1.1945318,-1.340682,-0.18620819,-0.1158274,0.40216607,1.8415437,1.170159,1.157768,-0.5237175,0.5107908,-0.14148965,-0.70721304,-0.5418225,0.29463744,0.6681439,1.4182831,-0.6005615,-1.2170925,-1.007623,-0.4142189,1.7675583,0.012238648,0.4243409,0.7174882,1
TCGA-BH-A1EW-11,1.1019768,-0.057791855,-1.1278946,0.6176177,0.24676687,0.067531444,0.37730008,1.0837705,1.3791555,1.5107899,-1.3649995,0.21800059,-1.3153261,-1.5626374,-1.6067965,0.92706597,-0.9422841,-0.79573596,0.82338846,-0.43012238,-0.68227726,-0.95968616,0.75415003,0.7812825,-0.86167437,-0.39278853,0.1393402,2.049826,0.2841442,-2.1517885,0.21957563,1.4639688,1
TCGA-BH-A1EX-01,2.1260486,1.0760708,0.054076083,-1.4478952,1.0816756,0.15794867,-0.21619591,2.4695272,0.6163753,-0.089203134,-0.35536125,-0.44610152,1.2082204,0.49085474,-0.7810466,-0.16336209,-0.008140793,1.0315071,-1.1090981,-2.0783334,1.8775192,0.3403611,0.49229577,-1.2609595,-0.9484411,-1.9605277,1.2545592,-0.15597562,-0.075596645,0.53361094,1.6242485,2.0744932,1
TCGA-BH-A1EY-01,-0.5016966,0.8229673,-0.6825318,0.36834013,-0.69364434,-1.1913345,-0.16823882,-0.3597303,1.0197502,0.12763368,0.55779815,0.30859664,-0.5895718,-1.0233058,0.35583472,-0.70041007,0.2433719,0.20946644,-1.4860892,1.4072515,0.35449785,-1.1706192,1.3512233,-0.36289823,1.6003042,1.1088053,-0.780554,-0.9855263,1.7069376,-1.5574893,-1.076548,-2.1070178,1
TCGA-BH-A1EY-11,-0.2704157,0.70350045,0.61284816,0.7441891,-0.2948034,0.87355125,0.3568512,0.21364677,1.670922,-0.4320914,-1.2792778,0.76926005,0.29984486,0.12632065,-1.7488242,2.4389534,-0.55498344,1.2788032,0.20168544,-0.4692098,0.9076043,-0.9649367,-0.8631518,-1.0128262,-0.67105407,-1.4254094,1.2512692,0.3222458,-0.12219037,0.22492522,-0.8983016,0.7527407,1
TCGA-BH-A1F0-01,-0.9723891,2.0739868,-0.24937476,1.1354712,-1.6772144,-1.6154612,-0.2734662,-0.9142457,-1.0726955,-1.2718457,-0.06416708,1.3020973,-1.0189265,0.18354908,1.6833956,-1.6695049,0.9737504,-0.8087915,-0.90133256,1.7783198,-0.23405445,-0.80030763,-0.19291651,3.456319,-1.1375645,-0.08339141,-0.4566611,0.085157044,-2.453951,-1.5035164,-1.4034553,-1.6573212,1
TCGA-BH-A1F0-11,-0.48398888,-1.5854498,-0.9017604,-1.0494993,-0.49920595,0.546559,1.0913748,-0.0041370327,1.2610685,-1.1320693,0.23211908,-0.8549575,-0.59291714,0.24166419,0.35264194,1.2886655,1.165082,1.2992481,0.19455776,-0.19307864,0.05202613,1.2494096,-0.44728482,-0.42607337,-0.4039443,0.48716766,1.8431865,-0.84550494,0.26903638,0.55575305,0.03126812,-0.03884664,1
TCGA-BH-A1F2-01,-2.1866918,-0.702011,1.7642765,0.24539587,-0.19388789,0.475804,0.5325069,-1.779243,1.0495582,-2.3209767,-0.41613394,-1.8258485,-0.82839954,0.8261829,-0.6963102,2.2208333,0.51239675,0.20720458,-0.2983056,1.0754111,-0.8368403,0.4560042,-0.05225099,-0.4427647,-0.2693097,-0.6442168,0.873375,0.28418303,-0.77268046,1.0165387,-0.8162223,0.116466045,1
TCGA-BH-A1F2-11,0.43867007,0.7070571,0.20894863,-1.176694,0.6141884,0.6385359,-1.546926,-0.015950467,2.1874068,0.62714547,1.4792411,0.17408162,1.0322229,-0.34469792,-0.0010067141,-1.5577432,-0.5007773,-0.38302705,0.04379935,1.5249268,0.16288841,-1.3534805,-2.1357937,-0.57566184,1.1964031,-0.30932075,0.5376773,0.29164687,-0.34322336,1.0562057,-0.8079377,1.2908528,1
TCGA-BH-A1F5-01,1.1524609,0.03454737,-0.7391046,1.280911,-0.120620824,0.30057463,0.46265197,0.076884225,-0.43578532,0.393447,-0.43040913,0.23355952,0.32103607,1.4831941,1.8210104,1.1694086,-1.774094,-0.3692808,0.65166473,-0.5842483,0.037849676,0.6865451,0.54431546,-0.6134178,0.5585898,2.09689,-0.31668347,1.3093232,-0.46184498,1.836558,-0.9845777,1.6029836,0
